snapshot,src_student,dst_student,src_class,dst_class,src_gender,dst_gender,same_class,importance
0,616,661,PC,PC,M,M,True,0.74535275
0,601,823,PC,PC*,M,M,False,0.72935343
0,893,896,PC*,PC*,M,M,True,0.71994287
0,1190,1658,MP*1,MP*1,M,M,True,0.709916
0,636,869,PC,PSI*,M,M,False,0.6997478
0,1613,1678,MP*1,MP*1,M,M,True,0.60996133
0,696,823,PC,PC*,F,M,False,0.60898453
0,1660,1679,MP*1,MP*1,F,M,True,0.60299873
0,889,892,PC*,PC*,M,M,True,0.58934939
0,823,890,PC*,PC*,M,M,True,0.56778538
0,652,682,PC,PC,M,M,True,0.56778532
0,864,880,PSI*,PC*,M,M,False,0.56518948
0,664,867,PSI*,PSI*,F,M,True,0.5635978
0,848,1651,PSI*,MP*1,M,M,False,0.55914515
0,626,817,PC,PC*,M,F,False,0.54739642
0,1613,1672,MP*1,MP*1,M,M,True,0.54450637
0,1618,1629,MP*1,MP*1,M,M,True,0.5327574
0,652,683,PC,PC,M,F,True,0.52681339
0,652,891,PC,PC*,M,M,False,0.52651662
0,804,853,PC*,PSI*,M,F,False,0.50793457
0,882,886,PC*,PC*,M,M,True,0.50000024
0,875,882,PC*,PC*,M,M,True,0.50000024
0,830,834,PSI*,PSI*,M,M,True,0.5
0,888,890,PC*,PC*,M,M,True,0.5
0,883,889,PC*,PC*,M,M,True,0.5
0,882,896,PC*,PC*,M,M,True,0.49814096
0,894,896,PC*,PC*,M,M,True,0.49814093
0,1144,1662,MP*1,MP*1,F,F,True,0.49202329
0,618,847,PC,PC*,F,F,False,0.49096155
0,803,849,PC*,PC*,F,F,True,0.48797983
0,644,696,PC,PC,F,F,True,0.48797983
0,686,696,PC,PC,F,F,True,0.48797983
0,814,895,PC*,PC*,F,F,True,0.48215723
0,698,817,PC,PC*,M,F,False,0.48112255
0,817,847,PC*,PC*,F,F,True,0.46962705
0,1170,1613,MP*1,MP*1,M,M,True,0.46218008
0,857,1657,PSI*,MP*1,M,M,False,0.44653228
0,609,815,PC,PC*,M,M,False,0.43850926
0,694,896,PC,PC*,F,M,False,0.41647625
0,636,643,PC,PC,M,F,True,0.41595834
0,1164,1657,MP*1,MP*1,M,M,True,0.41578418
0,851,855,PSI*,PSI*,M,F,True,0.4017486
